Request_ID,Request_Time,Response_Time,Completion_Time,Scheduled_Time,Req_Status,Cancellation_Reason,User_ID,Provider_ID,Service_ID
71,2020-12-31 00:00:00,2020-12-31 01:39:00,,2021-01-04 00:00:00,Cancelled,User Cancelled,596,45,4
72,2024-02-15 00:00:00,2024-02-15 01:54:00,2024-02-15 04:44:00,2024-02-18 00:00:00,Completed,,1525,483,4
73,2023-06-27 00:00:00,2023-06-27 01:20:00,2023-06-27 06:04:00,2023-06-28 00:00:00,Completed,,1182,378,1
74,2023-08-02 00:00:00,2023-08-02 01:47:00,,2023-08-07 00:00:00,Cancelled,User Cancelled,1735,199,14
75,2022-06-28 00:00:00,2022-06-28 00:55:00,2022-06-28 01:09:00,2022-07-02 00:00:00,Completed,,1065,340,20
76,2021-08-15 00:00:00,2021-08-15 01:52:00,,2021-08-16 00:00:00,Cancelled,Provider Unavailable,1746,236,11
77,2023-03-06 00:00:00,2023-03-06 01:40:00,2023-03-06 02:07:00,2023-03-10 00:00:00,Completed,,1393,234,5
78,2021-05-20 00:00:00,2021-05-20 01:53:00,,2021-05-25 00:00:00,Cancelled,Late Response,656,159,17
79,2025-07-20 00:00:00,2025-07-20 01:35:00,,2025-07-23 00:00:00,Cancelled,User Cancelled,980,324,7
80,2022-05-12 00:00:00,,,2022-05-13 00:00:00,No Response,,1660,171,5
81,2022-01-03 00:00:00,2022-01-03 01:38:00,,2022-01-06 00:00:00,Cancelled,Provider Unavailable,1435,377,2
82,2020-03-29 00:00:00,,,2020-04-01 00:00:00,No Response,,1670,338,6
83,2023-11-27 00:00:00,2023-11-27 00:55:00,,2023-11-27 00:00:00,Cancelled,Late Response,692,217,16
84,2022-03-10 00:00:00,,,2022-03-14 00:00:00,No Response,,1489,145,10
85,2023-08-17 00:00:00,,,2023-08-17 00:00:00,No Response,,807,50,5
86,2025-02-17 00:00:00,,,2025-02-18 00:00:00,No Response,,1741,479,10
87,2025-05-30 00:00:00,2025-05-30 01:59:00,,2025-05-31 00:00:00,Cancelled,User Cancelled,1183,71,15
88,2020-02-07 00:00:00,2020-02-07 01:37:00,,2020-02-11 00:00:00,Cancelled,User Cancelled,447,412,7
89,2024-03-22 00:00:00,2024-03-22 01:31:00,,2024-03-23 00:00:00,Cancelled,User Cancelled,1390,403,5
90,2022-01-05 00:00:00,2022-01-05 00:20:00,2022-01-05 04:53:00,2022-01-10 00:00:00,Completed,,197,183,16
91,2021-08-31 00:00:00,,,2021-09-05 00:00:00,No Response,,694,304,14
92,2021-05-01 00:00:00,2021-05-01 00:55:00,2021-05-01 05:15:00,2021-05-03 00:00:00,Completed,,828,126,2
93,2024-03-17 00:00:00,,,2024-03-22 00:00:00,No Response,,1409,306,6
94,2024-04-14 00:00:00,2024-04-14 01:25:00,,2024-04-19 00:00:00,Cancelled,Provider Unavailable,1349,46,15
95,2021-04-22 00:00:00,2021-04-22 00:20:00,2021-04-22 04:40:00,2021-04-27 00:00:00,Completed,,753,6,4
96,2022-07-10 00:00:00,2022-07-10 01:20:00,2022-07-10 05:35:00,2022-07-12 00:00:00,Completed,,1370,466,17
97,2022-01-11 00:00:00,2022-01-11 01:06:00,,2022-01-16 00:00:00,Cancelled,Late Response,1421,382,4
98,2021-05-27 00:00:00,2021-05-27 00:46:00,2021-05-27 01:28:00,2021-06-01 00:00:00,Completed,,889,153,19
99,2022-01-27 00:00:00,2022-01-27 01:49:00,,2022-02-01 00:00:00,Cancelled,User Cancelled,1862,442,18
100,2025-12-11 00:00:00,2025-12-11 00:13:00,,2025-12-15 00:00:00,Cancelled,Late Response,807,285,18
101,2022-04-29 00:00:00,,,2022-04-29 00:00:00,No Response,,1104,366,4
102,2022-01-07 00:00:00,2022-01-07 01:16:00,2022-01-07 05:14:00,2022-01-09 00:00:00,Completed,,371,442,20
103,2022-04-24 00:00:00,,,2022-04-25 00:00:00,No Response,,252,21,5
104,2020-05-23 00:00:00,2020-05-23 00:20:00,2020-05-23 04:49:00,2020-05-25 00:00:00,Completed,,180,288,9
105,2021-12-03 00:00:00,2021-12-03 01:29:00,,2021-12-03 00:00:00,Cancelled,User Cancelled,745,495,18
106,2023-04-16 00:00:00,,,2023-04-20 00:00:00,No Response,,616,24,17
107,2025-07-01 00:00:00,,,2025-07-03 00:00:00,No Response,,912,72,19
108,2025-09-22 00:00:00,2025-09-22 01:33:00,2025-09-22 02:33:00,2025-09-27 00:00:00,Completed,,1071,467,12
109,2020-05-30 00:00:00,2020-05-30 00:23:00,2020-05-30 03:06:00,2020-05-31 00:00:00,Completed,,1679,23,8
110,2022-06-03 00:00:00,,,2022-06-05 00:00:00,No Response,,1961,69,20
111,2024-09-24 00:00:00,2024-09-24 01:15:00,2024-09-24 03:35:00,2024-09-26 00:00:00,Completed,,569,66,20
112,2024-06-26 00:00:00,2024-06-26 00:15:00,,2024-06-28 00:00:00,Cancelled,Late Response,782,333,6
113,2022-04-14 00:00:00,2022-04-14 01:25:00,2022-04-14 03:52:00,2022-04-19 00:00:00,Completed,,872,482,5
114,2024-03-04 00:00:00,,,2024-03-09 00:00:00,No Response,,1428,331,7
115,2021-11-02 00:00:00,2021-11-02 01:50:00,,2021-11-03 00:00:00,Cancelled,Provider Unavailable,1327,421,17
116,2020-04-16 00:00:00,,,2020-04-17 00:00:00,No Response,,1614,223,13
117,2025-12-16 00:00:00,2025-12-16 01:32:00,2025-12-16 06:22:00,2025-12-19 00:00:00,Completed,,159,139,4
118,2024-01-26 00:00:00,2024-01-26 01:44:00,,2024-01-28 00:00:00,Cancelled,User Cancelled,136,169,3
119,2023-01-25 00:00:00,2023-01-25 00:17:00,2023-01-25 03:40:00,2023-01-26 00:00:00,Completed,,1780,409,8
120,2021-05-20 00:00:00,2021-05-20 01:12:00,2021-05-20 03:58:00,2021-05-24 00:00:00,Completed,,776,488,4
121,2021-01-26 00:00:00,,,2021-01-28 00:00:00,No Response,,1683,414,16
122,2023-01-15 00:00:00,,,2023-01-15 00:00:00,No Response,,1435,293,10
123,2023-07-26 00:00:00,2023-07-26 00:28:00,,2023-07-28 00:00:00,Cancelled,Late Response,1837,25,6
124,2024-07-07 00:00:00,2024-07-07 01:20:00,,2024-07-08 00:00:00,Cancelled,Provider Unavailable,1389,496,18
125,2021-09-28 00:00:00,,,2021-09-29 00:00:00,No Response,,20,352,17
126,2022-12-31 00:00:00,2022-12-31 01:37:00,2022-12-31 04:56:00,2023-01-05 00:00:00,Completed,,293,194,19
127,2024-09-09 00:00:00,,,2024-09-12 00:00:00,No Response,,1593,128,20
128,2025-04-03 00:00:00,,,2025-04-05 00:00:00,No Response,,375,225,12
129,2025-11-02 00:00:00,,,2025-11-03 00:00:00,No Response,,565,488,14
130,2023-06-05 00:00:00,2023-06-05 01:43:00,,2023-06-07 00:00:00,Cancelled,User Cancelled,626,326,3
131,2022-09-10 00:00:00,2022-09-10 00:26:00,2022-09-10 01:05:00,2022-09-10 00:00:00,Completed,,1300,41,3
132,2025-07-11 00:00:00,2025-07-11 00:59:00,2025-07-11 05:29:00,2025-07-16 00:00:00,Completed,,1523,147,18
133,2025-10-10 00:00:00,,,2025-10-15 00:00:00,No Response,,280,246,16
134,2024-07-18 00:00:00,2024-07-18 01:23:00,2024-07-18 03:10:00,2024-07-23 00:00:00,Completed,,1819,273,4
135,2025-12-28 00:00:00,,,2025-12-30 00:00:00,No Response,,15,366,14
136,2020-06-22 00:00:00,,,2020-06-25 00:00:00,No Response,,501,379,17
137,2022-07-10 00:00:00,2022-07-10 00:14:00,2022-07-10 03:31:00,2022-07-11 00:00:00,Completed,,1976,87,17
138,2024-09-27 00:00:00,2024-09-27 00:53:00,,2024-09-28 00:00:00,Cancelled,Provider Unavailable,1053,181,2
139,2022-10-20 00:00:00,,,2022-10-20 00:00:00,No Response,,1987,58,11
140,2023-04-17 00:00:00,2023-04-17 00:32:00,,2023-04-17 00:00:00,Cancelled,Late Response,595,154,16
141,2022-06-09 00:00:00,2022-06-09 01:27:00,,2022-06-13 00:00:00,Cancelled,User Cancelled,1293,292,13
142,2025-06-22 00:00:00,2025-06-22 00:50:00,2025-06-22 01:03:00,2025-06-26 00:00:00,Completed,,1916,238,20
143,2023-12-20 00:00:00,2023-12-20 00:05:00,2023-12-20 03:14:00,2023-12-25 00:00:00,Completed,,943,169,10
144,2020-02-06 00:00:00,2020-02-06 01:00:00,2020-02-06 05:21:00,2020-02-07 00:00:00,Completed,,382,206,12
145,2021-09-21 00:00:00,2021-09-21 00:20:00,,2021-09-24 00:00:00,Cancelled,User Cancelled,174,271,17
146,2022-07-15 00:00:00,2022-07-15 00:55:00,,2022-07-17 00:00:00,Cancelled,Provider Unavailable,319,394,9
147,2023-01-08 00:00:00,2023-01-08 01:01:00,2023-01-08 04:55:00,2023-01-09 00:00:00,Completed,,747,220,6
148,2020-01-24 00:00:00,2020-01-24 01:58:00,,2020-01-29 00:00:00,Cancelled,User Cancelled,287,182,14
149,2020-06-13 00:00:00,2020-06-13 00:55:00,2020-06-13 04:40:00,2020-06-18 00:00:00,Completed,,227,98,10
150,2021-10-18 00:00:00,,,2021-10-19 00:00:00,No Response,,679,462,2
151,2021-05-01 00:00:00,2021-05-01 01:07:00,,2021-05-05 00:00:00,Cancelled,Provider Unavailable,1943,246,9
152,2023-08-23 00:00:00,2023-08-23 01:09:00,,2023-08-28 00:00:00,Cancelled,Late Response,1639,350,5
153,2021-06-22 00:00:00,2021-06-22 00:18:00,2021-06-22 00:38:00,2021-06-23 00:00:00,Completed,,1727,423,13
154,2020-02-25 00:00:00,,,2020-02-26 00:00:00,No Response,,319,177,17
155,2024-10-25 00:00:00,,,2024-10-30 00:00:00,No Response,,107,348,11
156,2023-03-31 00:00:00,2023-03-31 01:07:00,,2023-03-31 00:00:00,Cancelled,Provider Unavailable,17,223,16
157,2025-09-25 00:00:00,2025-09-25 00:36:00,2025-09-25 03:09:00,2025-09-25 00:00:00,Completed,,508,317,5
158,2024-10-23 00:00:00,2024-10-23 01:05:00,2024-10-23 02:07:00,2024-10-28 00:00:00,Completed,,1770,135,8
159,2022-01-12 00:00:00,2022-01-12 01:54:00,2022-01-12 03:20:00,2022-01-13 00:00:00,Completed,,1496,258,20
160,2020-06-06 00:00:00,2020-06-06 00:29:00,,2020-06-07 00:00:00,Cancelled,Provider Unavailable,247,68,13
161,2021-01-07 00:00:00,2021-01-07 00:53:00,2021-01-07 04:31:00,2021-01-11 00:00:00,Completed,,37,316,7
162,2022-06-27 00:00:00,2022-06-27 00:59:00,,2022-06-30 00:00:00,Cancelled,User Cancelled,628,359,8
163,2023-05-31 00:00:00,2023-05-31 00:39:00,2023-05-31 03:55:00,2023-06-02 00:00:00,Completed,,1045,219,2
164,2022-10-08 00:00:00,2022-10-08 01:59:00,,2022-10-08 00:00:00,Cancelled,User Cancelled,1932,180,14
165,2023-08-10 00:00:00,2023-08-10 00:41:00,2023-08-10 04:52:00,2023-08-12 00:00:00,Completed,,84,1,2
166,2024-10-30 00:00:00,2024-10-30 00:37:00,2024-10-30 04:58:00,2024-11-01 00:00:00,Completed,,1861,311,4
167,2021-01-31 00:00:00,,,2021-01-31 00:00:00,No Response,,685,156,4
168,2023-09-18 00:00:00,2023-09-18 01:39:00,,2023-09-20 00:00:00,Cancelled,Late Response,1399,283,5
169,2024-03-02 00:00:00,2024-03-02 01:28:00,2024-03-02 03:59:00,2024-03-03 00:00:00,Completed,,1595,302,17
170,2021-03-11 00:00:00,2021-03-11 01:25:00,2021-03-11 02:36:00,2021-03-11 00:00:00,Completed,,1197,197,3
171,2022-03-01 00:00:00,,,2022-03-04 00:00:00,No Response,,1202,496,7
172,2023-11-05 00:00:00,2023-11-05 01:37:00,,2023-11-08 00:00:00,Cancelled,User Cancelled,1896,51,3
173,2020-06-28 00:00:00,2020-06-28 00:29:00,2020-06-28 04:13:00,2020-07-02 00:00:00,Completed,,1093,370,5
174,2023-11-23 00:00:00,2023-11-23 01:02:00,,2023-11-28 00:00:00,Cancelled,Late Response,1458,130,18
175,2020-10-04 00:00:00,2020-10-04 00:58:00,,2020-10-08 00:00:00,Cancelled,Late Response,241,467,14
176,2023-01-27 00:00:00,,,2023-01-28 00:00:00,No Response,,1620,12,6
177,2020-09-06 00:00:00,,,2020-09-07 00:00:00,No Response,,594,24,19
178,2025-07-20 00:00:00,,,2025-07-24 00:00:00,No Response,,1517,418,13
179,2021-11-08 00:00:00,2021-11-08 01:41:00,,2021-11-12 00:00:00,Cancelled,Provider Unavailable,1783,263,3
180,2024-06-29 00:00:00,,,2024-07-01 00:00:00,No Response,,1152,400,13
181,2021-10-17 00:00:00,,,2021-10-18 00:00:00,No Response,,424,95,1
182,2025-10-01 00:00:00,2025-10-01 01:09:00,,2025-10-06 00:00:00,Cancelled,Late Response,1213,357,1
183,2022-06-21 00:00:00,2022-06-21 01:35:00,,2022-06-23 00:00:00,Cancelled,Late Response,1076,133,10
184,2020-07-05 00:00:00,,,2020-07-06 00:00:00,No Response,,244,88,8
185,2023-02-11 00:00:00,2023-02-11 00:39:00,2023-02-11 01:15:00,2023-02-16 00:00:00,Completed,,598,21,5
186,2025-12-29 00:00:00,2025-12-29 00:05:00,2025-12-29 03:12:00,2026-01-03 00:00:00,Completed,,510,422,7
187,2023-08-22 00:00:00,2023-08-22 01:35:00,2023-08-22 06:26:00,2023-08-24 00:00:00,Completed,,1240,498,12
188,2023-04-22 00:00:00,2023-04-22 00:12:00,,2023-04-27 00:00:00,Cancelled,User Cancelled,1479,69,14
189,2023-02-19 00:00:00,2023-02-19 00:37:00,2023-02-19 00:55:00,2023-02-23 00:00:00,Completed,,1688,183,8
190,2021-03-11 00:00:00,,,2021-03-16 00:00:00,No Response,,1347,445,19
191,2022-04-24 00:00:00,2022-04-24 00:33:00,,2022-04-26 00:00:00,Cancelled,Provider Unavailable,1410,196,9
192,2021-09-29 00:00:00,2021-09-29 00:34:00,,2021-10-04 00:00:00,Cancelled,Late Response,418,298,13
193,2025-05-16 00:00:00,2025-05-16 01:08:00,2025-05-16 02:50:00,2025-05-19 00:00:00,Completed,,889,189,5
194,2022-02-12 00:00:00,,,2022-02-15 00:00:00,No Response,,379,418,6
195,2023-03-01 00:00:00,2023-03-01 00:44:00,2023-03-01 02:17:00,2023-03-02 00:00:00,Completed,,1932,374,6
196,2022-02-08 00:00:00,2022-02-08 00:23:00,2022-02-08 01:09:00,2022-02-11 00:00:00,Completed,,1675,202,20
197,2021-02-14 00:00:00,,,2021-02-18 00:00:00,No Response,,503,233,13
198,2021-02-12 00:00:00,2021-02-12 00:54:00,,2021-02-12 00:00:00,Cancelled,User Cancelled,282,373,1
199,2021-06-25 00:00:00,2021-06-25 01:43:00,2021-06-25 02:35:00,2021-06-27 00:00:00,Completed,,1693,7,2
200,2020-02-25 00:00:00,2020-02-25 01:46:00,2020-02-25 02:50:00,2020-02-29 00:00:00,Completed,,293,481,20
201,2020-12-14 00:00:00,2020-12-14 00:22:00,2020-12-14 04:37:00,2020-12-18 00:00:00,Completed,,1508,419,11
202,2023-06-13 00:00:00,2023-06-13 01:06:00,,2023-06-14 00:00:00,Cancelled,User Cancelled,1828,228,6
203,2021-05-19 00:00:00,2021-05-19 01:50:00,2021-05-19 02:22:00,2021-05-19 00:00:00,Completed,,115,279,9
204,2025-09-26 00:00:00,2025-09-26 00:23:00,,2025-09-26 00:00:00,Cancelled,User Cancelled,1116,152,4
205,2024-04-27 00:00:00,2024-04-27 00:50:00,2024-04-27 03:26:00,2024-04-28 00:00:00,Completed,,50,117,14
206,2021-04-05 00:00:00,2021-04-05 00:26:00,,2021-04-05 00:00:00,Cancelled,User Cancelled,1888,451,13
207,2024-01-03 00:00:00,2024-01-03 01:23:00,2024-01-03 04:23:00,2024-01-03 00:00:00,Completed,,209,490,10
208,2020-06-26 00:00:00,,,2020-06-27 00:00:00,No Response,,739,473,3
209,2023-10-03 00:00:00,,,2023-10-04 00:00:00,No Response,,365,220,17
210,2023-05-20 00:00:00,,,2023-05-22 00:00:00,No Response,,1392,218,5
211,2023-01-15 00:00:00,2023-01-15 01:29:00,,2023-01-17 00:00:00,Cancelled,Provider Unavailable,714,449,4
212,2020-01-09 00:00:00,2020-01-09 01:44:00,2020-01-09 03:09:00,2020-01-11 00:00:00,Completed,,1661,465,3
213,2025-05-13 00:00:00,2025-05-13 00:19:00,2025-05-13 04:07:00,2025-05-18 00:00:00,Completed,,303,200,15
214,2023-08-16 00:00:00,2023-08-16 00:28:00,2023-08-16 03:55:00,2023-08-18 00:00:00,Completed,,571,75,3
215,2025-05-25 00:00:00,,,2025-05-28 00:00:00,No Response,,654,254,14
216,2021-07-20 00:00:00,,,2021-07-21 00:00:00,No Response,,1233,407,11
217,2025-07-29 00:00:00,,,2025-08-02 00:00:00,No Response,,785,215,18
218,2022-07-31 00:00:00,2022-07-31 00:15:00,,2022-08-04 00:00:00,Cancelled,Late Response,1009,273,18
219,2022-06-17 00:00:00,,,2022-06-17 00:00:00,No Response,,864,270,19
220,2022-04-12 00:00:00,2022-04-12 00:51:00,2022-04-12 05:46:00,2022-04-15 00:00:00,Completed,,482,186,1
221,2020-09-01 00:00:00,2020-09-01 00:51:00,,2020-09-02 00:00:00,Cancelled,Provider Unavailable,1962,69,4
222,2024-09-20 00:00:00,2024-09-20 00:31:00,2024-09-20 02:35:00,2024-09-20 00:00:00,Completed,,943,74,18
223,2021-08-09 00:00:00,2021-08-09 01:38:00,,2021-08-09 00:00:00,Cancelled,Late Response,1530,71,4
224,2020-08-09 00:00:00,,,2020-08-09 00:00:00,No Response,,1977,218,12
225,2025-05-07 00:00:00,,,2025-05-08 00:00:00,No Response,,1358,298,3
226,2021-08-01 00:00:00,2021-08-01 00:36:00,2021-08-01 01:25:00,2021-08-01 00:00:00,Completed,,62,76,12
227,2021-09-05 00:00:00,2021-09-05 01:05:00,2021-09-05 02:26:00,2021-09-10 00:00:00,Completed,,1166,426,14
228,2025-04-09 00:00:00,2025-04-09 01:37:00,,2025-04-11 00:00:00,Cancelled,Provider Unavailable,1081,358,10
229,2023-03-20 00:00:00,2023-03-20 00:24:00,2023-03-20 01:04:00,2023-03-25 00:00:00,Completed,,1601,331,1
230,2025-08-23 00:00:00,2025-08-23 00:06:00,2025-08-23 03:38:00,2025-08-26 00:00:00,Completed,,66,310,6
231,2022-11-22 00:00:00,,,2022-11-26 00:00:00,No Response,,1393,486,15
232,2024-10-01 00:00:00,2024-10-01 00:39:00,2024-10-01 01:36:00,2024-10-05 00:00:00,Completed,,627,364,8
233,2022-05-17 00:00:00,2022-05-17 01:24:00,,2022-05-17 00:00:00,Cancelled,User Cancelled,774,487,5
234,2020-11-12 00:00:00,,,2020-11-15 00:00:00,No Response,,804,95,18
235,2024-04-07 00:00:00,2024-04-07 00:11:00,2024-04-07 03:31:00,2024-04-12 00:00:00,Completed,,978,161,13
236,2021-03-20 00:00:00,2021-03-20 00:14:00,2021-03-20 03:29:00,2021-03-24 00:00:00,Completed,,869,100,9
237,2020-04-24 00:00:00,2020-04-24 00:41:00,2020-04-24 02:14:00,2020-04-28 00:00:00,Completed,,1595,434,11
238,2020-02-14 00:00:00,2020-02-14 00:29:00,,2020-02-18 00:00:00,Cancelled,User Cancelled,219,34,7
239,2022-09-11 00:00:00,2022-09-11 00:15:00,,2022-09-15 00:00:00,Cancelled,Late Response,1308,476,2
240,2020-07-06 00:00:00,2020-07-06 00:45:00,2020-07-06 01:42:00,2020-07-08 00:00:00,Completed,,92,289,16
241,2024-06-18 00:00:00,,,2024-06-19 00:00:00,No Response,,18,183,10
242,2023-12-28 00:00:00,2023-12-28 01:34:00,2023-12-28 02:33:00,2023-12-30 00:00:00,Completed,,645,385,13
243,2021-02-17 00:00:00,,,2021-02-18 00:00:00,No Response,,835,460,17
244,2025-05-07 00:00:00,,,2025-05-07 00:00:00,No Response,,49,301,13
