Request_ID,Amount,Payment_Method,Payment_Status
215,7.55,Card,Pending
216,40.03,Cash,Pending
217,32.27,Cash,Pending
218,53.69,Cash,Pending
219,48.13,Card,Pending
220,244.28,Card,Paid
221,57.67,Cash,Pending
222,84.55,Card,Paid
223,99.05,Cash,Pending
224,76.56,Cash,Pending
225,1.7,Cash,Pending
226,523.04,Cash,Paid
227,970.12,Wallet,Paid
228,33.19,Cash,Pending
229,999.0,Card,Paid
230,907.74,Card,Paid
231,11.23,Card,Pending
232,978.26,Cash,Paid
233,12.58,Card,Pending
234,17.53,Cash,Pending
235,704.01,Cash,Paid
236,682.01,Wallet,Paid
237,365.98,Card,Paid
238,0.26,Cash,Pending
239,99.06,Cash,Pending
240,187.66,Wallet,Paid
241,83.64,Card,Pending
242,370.06,Wallet,Paid
243,35.68,Card,Pending
244,57.05,Cash,Pending
245,917.36,Cash,Paid
246,60.76,Card,Pending
247,11.12,Card,Pending
248,371.17,Cash,Paid
249,410.12,Cash,Paid
250,11.81,Cash,Pending
251,153.72,Card,Paid
252,778.78,Cash,Paid
253,12.98,Cash,Pending
254,687.05,Cash,Paid
255,69.39,Cash,Pending
256,53.73,Card,Pending
257,7.08,Card,Pending
258,304.14,Wallet,Paid
259,723.31,Cash,Paid
260,46.97,Cash,Pending
261,82.32,Card,Pending
262,33.79,Card,Pending
263,83.44,Cash,Pending
264,87.47,Cash,Pending
265,871.17,Card,Paid
266,902.63,Card,Paid
267,575.39,Cash,Paid
268,37.94,Cash,Pending
269,518.94,Card,Paid
270,63.76,Cash,Paid
271,37.49,Card,Pending
272,382.59,Cash,Paid
273,394.4,Wallet,Paid
274,58.4,Card,Pending
275,930.59,Cash,Paid
276,133.61,Wallet,Paid
277,151.9,Cash,Paid
278,20.29,Cash,Pending
279,971.74,Cash,Paid
280,31.03,Card,Pending
281,723.0,Card,Paid
282,37.96,Card,Pending
283,12.81,Cash,Pending
284,962.02,Wallet,Paid
285,80.55,Cash,Pending
286,7.83,Cash,Pending
287,612.85,Card,Paid
288,63.74,Card,Paid
289,0.22,Card,Pending
290,41.91,Cash,Pending
291,710.77,Cash,Paid
292,34.32,Card,Pending
293,59.6,Card,Pending
294,294.9,Card,Paid
295,403.66,Wallet,Paid
296,240.09,Cash,Paid
297,2.78,Card,Pending
298,539.93,Cash,Paid
299,85.03,Cash,Pending
300,401.0,Cash,Paid
301,96.07,Cash,Pending
302,95.22,Card,Pending
303,6.3,Card,Pending
304,382.64,Wallet,Paid
305,77.92,Cash,Paid
306,44.84,Card,Pending
307,417.2,Wallet,Paid
308,184.86,Card,Paid
309,297.86,Wallet,Paid
310,23.88,Card,Pending
311,580.65,Card,Paid
312,8.82,Cash,Pending
313,89.18,Card,Pending
314,76.73,Card,Pending
315,60.98,Card,Pending
316,54.31,Cash,Paid
317,4.19,Cash,Pending
318,48.12,Cash,Pending
319,56.56,Card,Pending
320,38.64,Cash,Pending
321,38.68,Card,Pending
322,44.2,Cash,Pending
323,91.28,Cash,Pending
324,75.64,Card,Pending
325,74.86,Card,Pending
326,24.7,Card,Pending
327,33.4,Card,Pending
328,71.95,Wallet,Paid
329,125.48,Cash,Paid
330,28.73,Card,Pending
331,60.79,Cash,Pending
332,900.78,Cash,Paid
333,57.0,Cash,Pending
334,89.89,Cash,Pending
335,51.17,Cash,Pending
336,915.27,Wallet,Paid
337,892.54,Cash,Paid
338,76.85,Card,Pending
339,399.55,Wallet,Paid
340,75.96,Card,Pending
341,1.37,Cash,Pending
342,17.57,Card,Pending
343,28.16,Card,Pending
344,491.55,Cash,Paid
345,38.46,Cash,Pending
346,245.35,Card,Paid
347,49.96,Cash,Pending
348,61.79,Cash,Pending
349,26.81,Card,Pending
350,933.16,Cash,Paid
351,89.03,Cash,Pending
352,435.64,Wallet,Paid
353,346.66,Wallet,Paid
354,24.78,Cash,Pending
355,66.64,Card,Pending
356,2.65,Cash,Pending
357,87.22,Cash,Pending
358,54.28,Cash,Pending
359,268.61,Cash,Paid
360,619.59,Wallet,Paid
361,29.57,Card,Pending
362,314.68,Card,Paid
363,80.47,Card,Pending
364,71.66,Cash,Pending
365,85.99,Cash,Pending
366,666.58,Wallet,Paid
367,440.82,Card,Paid
368,36.06,Cash,Pending
369,501.08,Wallet,Paid
370,87.7,Cash,Pending
371,81.97,Cash,Pending
372,60.61,Card,Pending
373,330.1,Card,Paid
374,543.7,Cash,Paid
375,46.06,Cash,Pending
376,56.6,Card,Pending
377,624.07,Wallet,Paid
378,12.16,Card,Pending
379,11.07,Cash,Pending
380,429.3,Card,Paid
381,67.92,Card,Pending
382,202.75,Cash,Paid
383,11.94,Card,Pending
384,86.28,Cash,Pending
385,73.39,Cash,Pending
386,807.48,Card,Paid
387,77.94,Cash,Pending
388,55.66,Cash,Pending
389,133.63,Wallet,Paid
390,78.58,Cash,Pending
391,47.18,Cash,Pending
392,35.29,Cash,Pending
393,68.27,Card,Pending
394,68.76,Cash,Pending
395,95.28,Cash,Pending
396,63.91,Cash,Pending
397,26.46,Card,Pending
398,631.23,Cash,Paid
399,97.64,Card,Pending
400,11.59,Cash,Pending
401,63.6,Card,Pending
402,907.51,Wallet,Paid
403,91.17,Card,Pending
404,92.97,Card,Pending
405,762.95,Wallet,Paid
406,22.92,Card,Pending
407,12.41,Cash,Pending
408,78.36,Card,Pending
409,2.36,Card,Pending
410,4.22,Cash,Pending
411,19.28,Card,Pending
412,76.37,Cash,Pending
413,36.28,Card,Pending
414,78.61,Cash,Pending
415,11.1,Cash,Pending
416,57.02,Cash,Paid
417,979.54,Card,Paid
418,51.44,Cash,Pending
419,97.33,Card,Pending
420,98.65,Card,Pending
421,128.81,Wallet,Paid
422,95.87,Cash,Pending
423,717.04,Card,Paid
424,192.35,Cash,Paid
425,36.6,Card,Pending
426,215.06,Card,Paid
427,615.58,Wallet,Paid
428,988.36,Wallet,Paid
429,537.19,Wallet,Paid
430,96.74,Card,Pending
431,198.73,Cash,Paid
432,620.26,Wallet,Paid
433,43.89,Cash,Pending
434,222.94,Wallet,Paid
435,58.53,Card,Pending
436,35.51,Card,Pending
437,917.6,Card,Paid
438,179.25,Cash,Paid
439,32.14,Card,Pending
440,936.7,Wallet,Paid
441,11.06,Card,Pending
442,44.79,Cash,Pending
443,65.19,Cash,Pending
444,483.15,Wallet,Paid
445,457.03,Cash,Paid
446,14.61,Cash,Pending
447,53.35,Cash,Paid
448,468.41,Wallet,Paid
449,97.51,Card,Pending
450,96.63,Card,Pending
451,87.53,Card,Pending
452,805.16,Cash,Paid
453,13.26,Card,Pending
454,666.67,Cash,Paid
455,39.3,Card,Pending
456,12.63,Card,Pending
457,706.19,Wallet,Paid
458,84.74,Card,Pending
459,26.99,Card,Pending
460,244.88,Card,Paid
461,81.66,Cash,Pending
462,23.68,Cash,Pending
463,251.96,Card,Paid
464,24.33,Card,Pending
465,684.43,Cash,Paid
466,12.75,Card,Pending
467,82.78,Card,Pending
468,366.89,Wallet,Paid
469,294.95,Cash,Paid
470,33.37,Cash,Pending
471,53.14,Card,Pending
472,365.4,Card,Paid
473,18.25,Card,Pending
474,39.03,Cash,Pending
475,44.61,Card,Pending
476,309.02,Card,Paid
477,105.05,Cash,Paid
478,87.76,Cash,Pending
479,0.01,Card,Pending
480,872.35,Wallet,Paid
481,17.26,Card,Pending
482,76.65,Cash,Paid
483,404.37,Card,Paid
484,132.09,Wallet,Paid
485,26.92,Card,Pending
486,295.1,Cash,Paid
487,84.5,Cash,Pending
488,60.38,Cash,Pending
489,42.72,Card,Pending
490,5.04,Card,Pending
491,66.0,Cash,Pending
492,658.13,Wallet,Paid
493,354.33,Card,Paid
494,96.81,Cash,Pending
495,9.7,Card,Pending
496,62.59,Cash,Pending
497,842.77,Card,Paid
498,62.95,Cash,Pending
499,950.24,Wallet,Paid
500,80.77,Cash,Pending
501,5.38,Card,Pending
502,55.25,Cash,Pending
503,267.65,Cash,Paid
504,89.38,Cash,Pending
505,59.45,Cash,Pending
506,155.69,Card,Paid
507,63.76,Card,Pending
508,653.77,Cash,Paid
509,384.75,Cash,Paid
510,14.69,Cash,Pending
511,299.75,Cash,Paid
512,83.15,Card,Pending
513,77.7,Card,Paid
514,78.47,Cash,Pending
515,48.82,Card,Pending
516,38.31,Card,Pending
517,1.21,Cash,Pending
518,414.84,Cash,Paid
519,456.59,Card,Paid
520,731.06,Cash,Paid
521,71.15,Card,Pending
522,2.8,Cash,Pending
523,133.7,Cash,Paid
524,219.1,Wallet,Paid
525,311.72,Wallet,Paid
526,74.53,Card,Pending
527,738.89,Cash,Paid
528,45.43,Cash,Pending
529,309.75,Wallet,Paid
530,993.01,Cash,Paid
531,32.13,Cash,Pending
532,45.45,Cash,Pending
533,86.42,Card,Pending
534,10.91,Card,Pending
535,198.49,Card,Paid
536,65.11,Cash,Pending
537,6.67,Card,Pending
538,124.98,Wallet,Paid
539,82.36,Cash,Pending
540,13.83,Cash,Pending
541,87.31,Card,Pending
542,36.99,Cash,Pending
543,32.79,Cash,Pending
544,47.17,Cash,Pending
545,84.95,Card,Pending
546,798.47,Wallet,Paid
547,357.66,Cash,Paid
548,71.59,Card,Pending
549,970.81,Wallet,Paid
550,304.96,Card,Paid
551,535.19,Card,Paid
552,467.12,Wallet,Paid
553,85.21,Cash,Pending
554,638.53,Card,Paid
555,589.23,Wallet,Paid
556,457.51,Wallet,Paid
557,10.37,Cash,Pending
558,59.44,Card,Pending
559,87.06,Card,Pending
560,61.68,Cash,Pending
561,489.75,Wallet,Paid
562,55.3,Card,Pending
563,481.84,Wallet,Paid
564,299.12,Wallet,Paid
565,668.47,Cash,Paid
566,748.4,Cash,Paid
567,80.91,Cash,Pending
568,5.84,Card,Pending
569,11.45,Card,Pending
570,65.56,Card,Pending
571,92.07,Cash,Pending
572,670.92,Wallet,Paid
573,933.97,Wallet,Paid
574,42.19,Cash,Pending
575,99.85,Cash,Pending
576,44.46,Cash,Pending
577,3.16,Cash,Pending
578,78.51,Cash,Pending
579,69.51,Cash,Pending
580,47.28,Cash,Pending
581,156.91,Cash,Paid
582,28.49,Cash,Pending
583,50.86,Card,Pending
584,313.3,Card,Paid
585,25.53,Cash,Pending
586,785.95,Wallet,Paid
587,13.41,Card,Pending
588,46.99,Cash,Pending
589,974.57,Wallet,Paid
590,111.09,Wallet,Paid
591,78.55,Cash,Pending
592,95.82,Cash,Pending
593,0.76,Card,Pending
594,36.23,Cash,Pending
595,40.2,Cash,Pending
596,7.09,Card,Pending
597,388.87,Card,Paid
598,815.25,Cash,Paid
599,696.41,Cash,Paid
600,85.0,Cash,Pending
601,556.46,Wallet,Paid
602,54.22,Card,Pending
603,64.22,Card,Pending
604,757.51,Cash,Paid
605,342.89,Card,Paid
606,901.73,Cash,Paid
607,16.01,Card,Pending
608,32.59,Card,Pending
609,78.9,Cash,Pending
610,124.27,Card,Paid
611,56.37,Card,Pending
612,28.73,Cash,Pending
613,72.22,Card,Pending
614,20.08,Card,Pending
615,41.62,Cash,Pending
616,611.32,Wallet,Paid
617,72.23,Cash,Pending
618,44.75,Card,Pending
619,45.13,Cash,Pending
620,142.54,Cash,Paid
621,81.81,Card,Pending
622,69.04,Cash,Pending
623,793.42,Wallet,Paid
624,31.84,Cash,Pending
625,20.84,Card,Pending
626,158.6,Card,Paid
627,66.72,Card,Pending
628,57.46,Cash,Pending
629,66.43,Card,Pending
630,26.48,Card,Pending
631,87.1,Card,Pending
632,13.43,Card,Pending
633,77.26,Cash,Pending
634,148.9,Wallet,Paid
635,187.23,Wallet,Paid
636,75.07,Card,Pending
637,408.89,Wallet,Paid
638,80.51,Wallet,Paid
639,980.55,Wallet,Paid
640,92.06,Card,Pending
641,53.54,Card,Pending
642,99.41,Cash,Pending
643,289.16,Card,Paid
644,22.33,Card,Pending
645,90.89,Card,Pending
646,59.32,Card,Pending
647,47.85,Cash,Pending
648,13.1,Card,Pending
649,893.7,Wallet,Paid
650,422.72,Cash,Paid
651,89.95,Card,Pending
652,78.48,Cash,Pending
653,570.44,Card,Paid
654,253.97,Card,Paid
655,83.91,Cash,Pending
656,54.98,Card,Pending
657,482.94,Cash,Paid
658,160.08,Wallet,Paid
659,97.08,Card,Pending
660,17.99,Card,Pending
661,688.47,Card,Paid
662,52.25,Cash,Pending
663,503.7,Card,Paid
664,16.91,Cash,Pending
665,671.04,Card,Paid
666,17.01,Card,Pending
667,751.39,Card,Paid
668,29.06,Cash,Pending
669,63.05,Card,Pending
670,997.49,Wallet,Paid
671,57.44,Cash,Pending
672,98.4,Cash,Pending
673,62.35,Cash,Pending
674,18.86,Cash,Pending
675,92.12,Card,Pending
676,12.65,Card,Pending
677,624.75,Cash,Paid
678,29.96,Card,Pending
679,41.63,Card,Pending
680,74.81,Card,Pending
681,31.22,Cash,Pending
682,25.82,Card,Pending
683,68.5,Card,Pending
684,99.69,Cash,Pending
685,40.47,Cash,Pending
686,9.17,Card,Pending
687,76.8,Card,Pending
688,84.33,Card,Pending
689,5.5,Cash,Pending
690,22.08,Card,Pending
691,58.62,Card,Pending
692,97.65,Card,Pending
693,26.58,Cash,Pending
694,11.68,Cash,Pending
695,42.57,Card,Pending
696,2.15,Cash,Pending
697,69.37,Card,Pending
698,447.84,Cash,Paid
699,75.26,Cash,Pending
700,645.96,Cash,Paid
701,50.08,Cash,Pending
702,466.99,Cash,Paid
703,311.73,Cash,Paid
704,47.74,Cash,Pending
705,66.93,Wallet,Paid
706,94.05,Card,Pending
707,87.13,Cash,Pending
708,15.15,Card,Pending
709,77.49,Card,Pending
710,934.17,Cash,Paid
711,27.89,Card,Pending
712,895.41,Wallet,Paid
713,69.64,Card,Pending
714,97.38,Cash,Pending
715,73.68,Cash,Pending
716,4.48,Card,Pending
717,78.86,Card,Pending
718,75.89,Cash,Pending
719,726.31,Wallet,Paid
720,419.43,Cash,Paid
721,43.67,Card,Pending
722,78.77,Cash,Pending
723,95.91,Cash,Pending
724,44.11,Card,Pending
725,14.18,Cash,Pending
726,508.96,Wallet,Paid
727,41.9,Cash,Pending
728,682.61,Card,Paid
729,50.51,Card,Pending
730,183.3,Cash,Paid
731,99.82,Card,Pending
732,292.51,Wallet,Paid
733,882.66,Card,Paid
734,46.26,Cash,Pending
735,21.88,Card,Pending
736,55.39,Card,Pending
737,248.35,Wallet,Paid
738,887.27,Cash,Paid
739,1.81,Cash,Pending
740,30.37,Cash,Pending
741,88.39,Cash,Pending
742,979.53,Wallet,Paid
743,92.01,Cash,Pending
744,66.82,Cash,Pending
745,955.03,Wallet,Paid
746,72.75,Cash,Pending
747,0.76,Cash,Pending
748,93.56,Card,Pending
749,69.29,Cash,Pending
750,922.27,Cash,Paid
751,28.08,Card,Pending
752,37.8,Cash,Pending
753,847.36,Cash,Paid
754,463.02,Wallet,Paid
755,91.14,Cash,Pending
756,594.05,Wallet,Paid
757,532.0,Cash,Paid
758,803.32,Cash,Paid
759,52.92,Cash,Pending
760,71.57,Card,Pending
761,358.02,Card,Paid
762,991.34,Cash,Paid
763,333.99,Cash,Paid
764,67.01,Cash,Pending
765,56.14,Card,Pending
766,87.48,Cash,Pending
767,81.45,Card,Pending
768,75.23,Cash,Pending
769,38.48,Cash,Pending
770,17.68,Cash,Pending
771,28.49,Card,Pending
772,87.5,Cash,Pending
773,13.04,Cash,Pending
774,32.79,Cash,Pending
775,6.68,Cash,Pending
776,804.56,Wallet,Paid
777,62.46,Cash,Pending
778,569.0,Cash,Paid
779,1.72,Card,Pending
780,3.89,Cash,Pending
781,64.99,Card,Pending
782,60.21,Card,Pending
783,949.86,Cash,Paid
784,494.64,Card,Paid
785,36.75,Card,Pending
786,661.27,Cash,Paid
787,572.59,Card,Paid
788,401.44,Cash,Paid
789,504.82,Card,Paid
790,628.57,Card,Paid
791,757.05,Cash,Paid
792,520.52,Card,Paid
793,605.18,Wallet,Paid
794,7.96,Cash,Pending
795,94.08,Card,Pending
796,73.19,Card,Pending
797,198.0,Cash,Paid
798,82.28,Card,Pending
799,29.04,Card,Pending
800,80.92,Cash,Pending
801,534.04,Cash,Paid
802,296.29,Cash,Paid
803,75.24,Cash,Pending
804,14.79,Card,Pending
805,52.79,Card,Pending
806,85.68,Cash,Pending
807,250.53,Cash,Paid
808,92.77,Cash,Pending
809,1.08,Card,Pending
810,9.95,Cash,Pending
811,10.79,Cash,Pending
812,67.11,Cash,Pending
813,518.01,Cash,Paid
814,69.65,Card,Pending
815,46.94,Cash,Pending
816,51.16,Cash,Pending
817,94.53,Card,Pending
818,72.61,Cash,Pending
819,74.0,Cash,Pending
820,7.64,Cash,Pending
821,122.77,Wallet,Paid
822,58.58,Cash,Pending
823,679.51,Cash,Paid
824,532.0,Wallet,Paid
825,57.0,Cash,Pending
826,20.66,Cash,Pending
827,18.82,Cash,Pending
828,63.03,Card,Pending
829,830.84,Cash,Paid
830,16.17,Cash,Pending
831,583.8,Card,Paid
832,674.28,Wallet,Paid
833,73.23,Cash,Pending
834,568.32,Card,Paid
835,23.62,Card,Pending
836,92.28,Card,Pending
837,17.92,Cash,Pending
838,888.95,Card,Paid
839,530.21,Wallet,Paid
840,57.95,Wallet,Paid
841,548.43,Card,Paid
842,511.68,Wallet,Paid
843,43.56,Cash,Pending
844,45.73,Card,Pending
845,590.42,Cash,Paid
846,315.5,Card,Paid
847,26.13,Cash,Pending
848,92.81,Card,Pending
849,938.27,Wallet,Paid
850,72.23,Card,Pending
851,27.18,Card,Pending
852,2.83,Cash,Pending
853,68.64,Card,Pending
854,2.93,Cash,Pending
855,57.68,Card,Pending
856,90.72,Card,Pending
857,984.51,Cash,Paid
858,930.2,Wallet,Paid
859,26.36,Cash,Pending
860,9.06,Card,Pending
861,38.69,Cash,Pending
862,833.6,Cash,Paid
863,64.74,Cash,Pending
864,33.59,Card,Pending
865,35.71,Card,Pending
866,41.66,Cash,Pending
867,309.5,Cash,Paid
868,83.49,Card,Pending
869,88.75,Card,Pending
870,358.15,Card,Paid
871,45.47,Cash,Pending
872,65.19,Cash,Pending
873,90.71,Cash,Pending
874,21.78,Card,Pending
875,698.25,Cash,Paid
876,50.68,Cash,Pending
877,7.17,Card,Pending
878,35.94,Card,Pending
879,40.8,Cash,Pending
880,95.23,Card,Pending
881,30.59,Card,Pending
882,38.9,Card,Pending
883,93.43,Cash,Pending
884,52.46,Card,Pending
885,497.06,Cash,Paid
886,509.22,Card,Paid
887,160.54,Card,Paid
888,86.88,Cash,Pending
889,16.68,Cash,Pending
890,82.63,Card,Pending
891,899.61,Wallet,Paid
892,41.78,Card,Pending
893,92.17,Card,Pending
894,861.33,Cash,Paid
895,17.78,Card,Pending
896,71.74,Wallet,Paid
897,30.09,Cash,Pending
898,43.49,Card,Pending
899,53.41,Card,Pending
900,53.38,Card,Pending
901,733.91,Cash,Paid
902,53.31,Card,Pending
903,28.42,Card,Pending
904,760.57,Card,Paid
905,432.52,Cash,Paid
906,43.23,Cash,Pending
907,79.59,Cash,Pending
908,63.53,Card,Pending
909,94.31,Cash,Pending
910,64.83,Cash,Pending
911,22.08,Card,Pending
912,967.85,Wallet,Paid
913,867.51,Cash,Paid
914,46.52,Card,Pending
915,42.38,Card,Pending
916,254.28,Card,Paid
917,93.31,Card,Pending
918,101.0,Card,Paid
919,370.38,Cash,Paid
920,154.69,Wallet,Paid
921,830.67,Cash,Paid
922,19.47,Card,Pending
923,871.03,Cash,Paid
924,74.63,Card,Pending
925,738.9,Wallet,Paid
926,48.68,Card,Pending
927,641.28,Card,Paid
928,710.72,Cash,Paid
929,525.94,Wallet,Paid
930,35.62,Card,Pending
931,2.02,Cash,Pending
932,39.12,Cash,Pending
933,82.62,Cash,Pending
934,12.23,Card,Pending
935,96.72,Cash,Pending
936,38.11,Cash,Pending
937,247.63,Cash,Paid
938,4.6,Card,Pending
939,46.97,Card,Pending
940,447.86,Cash,Paid
941,37.18,Card,Pending
942,13.45,Cash,Pending
943,9.03,Card,Pending
944,39.26,Cash,Pending
945,496.41,Card,Paid
946,22.69,Card,Pending
947,93.89,Wallet,Paid
948,54.57,Card,Pending
949,56.52,Card,Pending
950,72.29,Cash,Pending
951,572.24,Cash,Paid
952,82.16,Cash,Pending
953,490.01,Wallet,Paid
954,388.03,Wallet,Paid
955,88.46,Cash,Pending
956,75.01,Card,Pending
957,52.57,Cash,Pending
958,46.69,Cash,Pending
959,306.59,Wallet,Paid
960,26.31,Cash,Pending
961,402.57,Wallet,Paid
962,10.44,Card,Pending
963,63.68,Cash,Pending
964,31.73,Card,Pending
965,498.89,Cash,Paid
966,845.92,Card,Paid
967,366.24,Cash,Paid
968,31.12,Card,Pending
969,18.51,Card,Pending
970,94.01,Card,Pending
971,59.55,Cash,Pending
972,167.73,Wallet,Paid
973,65.05,Cash,Pending
974,470.09,Cash,Paid
975,24.78,Card,Pending
976,44.32,Cash,Pending
977,68.37,Cash,Pending
978,33.16,Card,Pending
979,93.72,Cash,Pending
980,83.08,Card,Pending
981,24.52,Card,Pending
982,479.48,Wallet,Paid
983,942.66,Card,Paid
984,694.1,Card,Paid
985,83.21,Card,Pending
986,921.45,Wallet,Paid
987,556.7,Card,Paid
988,129.6,Card,Paid
989,306.52,Cash,Paid
990,24.35,Cash,Pending
991,39.85,Cash,Pending
992,895.3,Card,Paid
993,479.17,Card,Paid
994,945.36,Wallet,Paid
995,99.36,Card,Pending
996,3.75,Cash,Pending
997,28.27,Cash,Pending
998,80.53,Card,Pending
999,59.06,Card,Pending
1000,45.91,Cash,Pending
1001,6.91,Card,Pending
1002,71.65,Card,Pending
1003,68.71,Cash,Pending
1004,831.53,Wallet,Paid
1005,74.07,Card,Pending
1006,927.37,Wallet,Paid
1007,93.66,Card,Pending
1008,656.36,Cash,Paid
1009,874.59,Wallet,Paid
1010,859.27,Card,Paid
1011,602.49,Wallet,Paid
1012,4.15,Card,Pending
1013,73.6,Cash,Pending
1014,822.5,Card,Paid
1015,65.89,Cash,Pending
1016,94.66,Cash,Pending
1017,544.31,Cash,Paid
